Longitude,Latitude,Address
-79.3896532,43.6696243,Bay Station 
-79.3795681,43.7685442,Bessarion Station 
-79.3683672,43.6736584,Castle Frank Station
-79.4180202,43.6636591,Christie Station 
-79.3236923,43.6833572,Coxwell Station 
-79.3469524,43.7751102,Don Mills Station
-79.4629097,43.7503481,Downsview Station 
-79.3809843,43.6563635,Dundas Station 
-79.4070339,43.6747313,Dupont Station 
-79.4156599,43.7801743,Finch Station 
-79.4377184,43.6984205,Eglinton West Station
-79.2644691,43.7327528,Kennedy Station 
-79.3374681,43.6803961,Donlands Station 
-79.5348787,43.6382532,Kipling Station 
-79.2770433,43.7663555,Ellesmere Station 
-79.4643688,43.6537457,High Park Station
-79.3980217,43.7049007,Eglinton Station 
