Longitude,Latitude,Address
-79.4109392,43.6651611,Bathurst Station 
-79.3871641,43.7669563,Bayview Station 
-79.3587542,43.6761904,Broadview Station 
-79.3830872,43.6612558,College Station 
-79.4426966,43.7091923,Glencairn Station 
-79.3965197,43.6978626,Davisville Station 
-79.3523169,43.6774778,Chester Station 
-79.5212317,43.6451626,Islington Station 
-79.4599485,43.6546898,Keele Station 
-79.4425678,43.6583376,Lansdowne Station 
-79.4843674,43.6493683,Jane Station 
-79.4021845,43.7249422,Lawrence Station 
-79.3778086,43.6488533,King Station 
-79.2709494,43.7504339,Lawrence East Station
-79.4349718,43.6599684,Dufferin Station 
-79.3327475,43.6813402,Greenwood Station 
-79.4520521,43.6564922,Dundas West Station
