,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0,12.7,3,1.5,7.8,3.4,3.5,13,6,4.5,7.9,6.5,2.9,17.6,3.9,5.4,5.3
2,16.8,0,17.1,14.2,10.7,9.7,17.7,24.3,22.6,17.5,22.1,6.7,21.5,11.6,16.9,14.5,23
3,3.8,18.5,0,2.4,9.6,4.9,1.5,14.7,7.8,6.4,9.8,7.7,3.9,15.6,5.8,3.4,7.2
4,1.1,14.2,6.5,0,6.3,5.7,7.1,10.7,4.2,2.8,6.1,9.1,5.8,21.3,2.1,9,3.5
5,7.7,16,3.2,6.3,0,8.5,2.6,22.5,16.5,15.9,18.3,10.4,7.9,11.1,9.7,0.6,12.7
6,18.3,3.8,14.1,17,13.3,0,16,28.7,23.3,20.2,26.5,9.3,19.8,10.1,19.6,12.8,27.5
7,11.5,6.6,19.8,14.3,5.4,9.8,0,19.1,13.8,11.9,15.4,7.9,15.7,20.7,11.3,18.4,13.2
8,3.7,20.8,3.9,0.7,9.7,4.8,4.5,0,7.2,5.9,9.1,7.9,0.8,17.8,5.4,6.4,6.3
9,1.4,13.3,4.4,3.1,6.2,3.5,5,11.1,0,4.2,7.7,6.7,4.5,19.2,3.6,6.9,5.2
10,15,4,15.4,17.3,10.6,9.6,15.8,24.2,22.5,0,22,6.5,15.3,16.6,16.8,19.5,19.9
11,5.3,10.6,9.1,7.9,1.8,4,9.7,12.8,7.4,6,0,5.5,9.4,21.6,5.4,11.8,7
12,18.4,14.7,12,17.1,18.6,15,11.4,25.7,20.1,21.7,22,0,17.1,3,18,9.6,19.5
13,6.4,15.4,1.9,5.1,11.5,7.3,1.4,16.1,10.5,9.1,12.4,9.2,0,12.5,8.4,0.7,10
14,11.1,24.7,15.7,13.8,20.2,15,16.3,2,7.1,8.6,5.1,18.2,16.7,0,9.2,18.1,7.8
15,22.8,10.6,16,21,19.6,18.6,15.4,33.2,23.5,26.4,25.4,15.6,21,2.7,0,13.6,23.2
16,4.7,21.9,10.8,7.8,9.1,10,9.9,6.1,0.7,2.2,1.5,13.5,8.3,22.2,2.8,0,1.4
17,6,7.9,6.6,5.1,4.5,0.9,7.2,14.3,10.4,8.7,12.3,2.1,6.5,13.2,8.1,7.6,0
